KWIS 	Know What I'm Saying?
LBH 	Let's Be Honest
ILYAAF 	I Love You As A Friend
MAWOY 	May Angels Watch Over You
HMU 	Hit Me Up
MBA 	Masters of Business Association
TTFW 	Too Tacky For Words
TYM 	Thank You Much
MOQ 	Minimum Order Quantity
ILYL 	I Love You Lots
HMUL 	Hit Me Up Later
ILYSDM 	I Love You So Damn Much
LBM 	Little Big Man
LZ 	Landing Zone
MA 	Mom alert
NMO 	Not My Opinion
GHD 	Good Hair Day
GLTA 	Good Luck to All
MOS 	Mom Over Shoulder
ILYK 	I'll Let You Know
GLTY 	Good Luck To You
NMR 	Not My Responsibility
NYU 	New York University
OA 	Over Acting Over Achiever
LGT 	Link Goes To...
ILYSM 	I Love You So Much
MYT 	Meet You There
NA 	Not Available
LYTD 	Love You To Death
OHW 	One Hit Wonder
PFA 	Please Find Attached
AOW 	All Out War
PIC 	Picture Partner In Crime
RSPB 	Royal Society for the Protection of Birds
RSVP 	Repondez s'il vous plait (Please reply)
    MU   Miss You
   TGIM 	Thank God It's Monday
PVC 	Polyvinyl Chloride, vinyl
    H&K   Hugs & Kisses
    H2CUS   Hope To See You Soon
    H8   Hate
    HAG1    Have A Good One
    HAGN   Have A Good Night
    HAND   Have A Nice Day
    HAWT   Have A Wonderful Day (out-dated, see next in list)
    HMB   Hit Be Back
    HMU   Hit Me Up
    HOAS   Hold On A Second
    HRU   How Are You
    HT or H/T   Hat Tip or Heard Through
    HTH   Hope This Helps / Happy To Help
    HW   Homework
IAC   In Any Case
    IAE   In Any Event
    IANAL   I Am Not A Lawyer
    IAO   I Am Out (of here)
    IC   I See
    ICYMI   In Case You Missed It
    IDC   I Don't Care
    IHNI  I have no idea
    IIRC   If I Remember Correctly
    IKR   I Know Right
    ILY   I Love You
    IM    Instant Message
    IMHO   In My Humble Opinion
    IMO   In My Opinion
    IMS   I Am Sorry
    IRL   In Real Life
    ISLY   I Still Love You
    ISO   In Search Of
    IU2U   It's Up To You
    IYKWIM   If You Know What I Mean
    JK   Just Kidding
    J4F   Just For Fun
    JIC  Just In Case
    JLMK   Just Let Me Know
    JMO   Just My Opinion
    JSYK   Just So You Know
    JW   Just Wondering
    K or KK   Okay
    KISS   Keep It Simple, Stupid
    KIT   Keep In Touch
    L8   Late
    L8R   Later
    LHO   Laughing Head Off
    LMAO   Laughing My Ass Off
    LMBO   Laughing My Butt Off
    LMK   Let Me Know
    LOL   Laughing Out Loud
    LOTI   Laughing On The Inside
    LTNS   Long Time No See
    LYLAS   Love You Like A Sister
    LYSM   Love You So Much
    MC   Merry Christmas
    PAW   Parents Are Watching
    PCM   Please Call Me
    PLS   Please
    POV   Point Of View
    PPL   People
    PTB   Please Text Back
    PTMM   Please Tell Me More
    QQ   Crying
    RAK   Random Act of Kindness
    RBTL   Read Between The Lines
    RIP   Rest In Peace
    RL   Real Life
    ROFL   Rolling On the Floor Laughing
    RT   Real Time
    RTM or RTFM   Read The Manual
    RYS   Are You Single?
    SBY   Somebody
    SFAIK  So Far As I Know
    SH  Sh** Happens
    SIMYC   Sorry I Missed Your Call
    SIS   Sister
    SITD   Still In The Dark
    SMH   Shaking My Head
    SOL   Sooner Or Later
    SRSLY   Seriously
    SRY   Sorry
    SSDD   Same Stuff, Different Day
    STBY   Sucks To Be You
    SWAK   Sealed (or Sent) With A Kiss
    SWYP   So, What's Your Problem?
    TAFN    That's All For Now
    TBA   To Be Announced
    TBC   To Be Continued
    TBH   To Be Honest
    TBL   Text back later
    TCB   Take care of business
    TFH   Thread From Hell
    TFS   Thanks For Sharing
    TFTI   Thanks For The Invitation
    TGIF   Thank God It's Friday
    THX   Thanks
    TIA  Thanks In Advance
    TIAD   Tomorrow Is Another Day
    TIME   Tears In My Eyes
    TLC   Tender Loving Care
    TLK2UL8R   Talk To You Later
    TMI   Too Much Information
    TMRW   Tomorrow
    TTYL   Talk To You Later
    TTYS   Talk To You Soon
    TYFYC   Thank You For Your Comment
    TYVM   Thank You Very Much
    U4E   You Forever
    UR   Your
    VAT   Value Added Tax
    VBG   Very Big Grin
    VSF   Very Sad Face
    WAM   Wait A Minute
    WB   Welcome Back
    WC   Who Cares
    WE   Whatever
    WEG   Wicked Evil Grin
    WITP   What Is The Point?
    WKND   Weekend
    WTF   What The F***
    WTH  What The Heck?
    WTPA   Where The Party At?
    WUF   Where Are You From?
    WYCM   Will You Call Me?
    WYWH   Wish You Were Here
    XLNT   Excellent
    XOXO   Hugs and Kisses
    YCMU   You Crack Me Up
    YGM   You've Got Mail
    YMMV   Your Mileage May Vary
    YOLO   You Only Live Once
    YTB   You're The Best
    YW   You're Welcome
    YWSYLS   You Win Some, You Lose Some
AAB 	Average At Best
AAC 	Apple Audio Compression
AAF 	Always and Forever
AAK 	Alive And Kicking
AAMOF 	As A Matter Of Fact
AAP 	Always A Pleasure
AAR 	At Any Rate
AARP 	American Association of Retired Persons
AAT 	And Another Thing At All Times
AAWY 	And Also With You
AAYF 	As Always, Your Friend
ABC 	American Born Chinese
ABD 	Already Been Done
ABDC 	America's Best Dance Crew (TV show)
ABF 	All But Face
ABFAB 	Absolutely Fabulous
ABH 	Actual Bodily Harm
ABP 	Already Been Posted
ABU 	Anyone but (Manchester) United
AC 	Air Conditioning Alternating Current
ACLU 	American Civil Liberties Union
ACME 	A Company that Makes Everything
ACP 	Automatic Colt Pistol
ACTA 	Anti-Counterfeiting Trade Agreement
ACU 	Army Combat Uniform
AD 	Anno Domini (in the year of our Lord)
ADAD 	Another Day Another Dollar
ADD 	Attention Deficit Disorder
ADED 	All Day Every Day
ADGTH 	All Dogs Go To Heaven
ADHD 	Attention Deficit Hyperactivity Disorder
ADL 	All Day Long
ADN 	Any Day Now
ADR 	All Due Respect
ADS 	Aim(ing) Down Sights
ADSL 	Asymmetric Digital Subscriber Line
ADTR 	A Day To Remember (band)
AE 	American Eagle (clothing)
AEAE 	And Ever And Ever
AEAP 	As Early As Possible
AFAIA 	As Far As I'm Aware
AFAIAA 	As Far As I Am Aware
AFAIAC 	As Far As I Am Concerned
AFAIC 	As Far As I'm Concerned
AFAICS 	As Far As I Can See
AFAICT 	As Far As I Can Tell
AFAIK 	As Far As I Know
AFAIR 	As Far As I Remember
AFAP 	As Far As Possible
AFC 	Away From Computer
AFFA 	Angels Forever, Forever Angels
AFI 	A Fire Inside (Band)
AFK 	Away From Keyboard
AFL 	Australian Football League
AFN 	All For Now
AFP 	Away From Phone
AFRL 	Away From Real Life
AFS 	Always, Forever and Seriously
AGC 	Automatic Gain Control
AGH 	Ain't Gonna Happen
AGM 	Annual General Meeting
AGP 	Accelerated Graphics Port
AGT 	America's Got Talent (TV show)
AGW 	All Going Well
AI 	As If
YUM 	Said when something tastes good or is attractive
YVW 	You're Very Welcome
YW 	You're Welcome
YWCA 	Young Women's Christian Association
YWIMC 	Your Wish Is My Command
YWSYLS 	You Win Some, You Lose Some
YWU? 	Yo Waz Up?
SUS Suspect
Simp a person who is subservient to someone else
Yeet exclamation
Lit something exciting, fresh, or worthwhile
Cap a lie
bet no
dope high quality, mind blowing
fire awesome
HAYT 	How Are You Today?
AIB 	Am I Boverd?
AIDS 	Acquired Immune Deficiency Syndrome
AIGF 	All In Good Fun
AIIC 	As If I Care
AIKRN 	All I know right now
AIMH 	Always In My Heart
AINEC 	And It's Not Even Close
AIO 	All In One
AISB 	As I Said Before
AISI 	As I See it
AITR 	Adult In The Room
AITYD 	And I Think You Do
AIUI 	As I Understand it
AIYC 	As If You Care
AJ 	Apple Juice
AKTF 	Always Keep the Faith
ALF 	Animal Liberation Front
ALG 	Ain't Life Grand
ALIHAL 	At Least I Have A Life
ALKQN 	Almighty Latin King and Queen Nation
ALOL 	Actually Laughing Out Loud
ALOTBSOL 	Always Look On The Bright Side Of Life
ALU 	Arithmetic Logic Unit
ALWP 	Actual Laughter Was Produced
AM 	Ante Meridiem (before midday)
AMA 	Ask Me Anything
AMAA 	Ask Me Almost Anything
AMAP 	As Much/Many As Possible
AMC 	American Motors Corportation
AMD 	Advanced Micro Devices
MBFAM 	My Brother From Another Mother
MBN 	Must Be Nice
MBO 	Must Be Off Management Buy-Out
MBPS 	MegaBits/Bytes Per Second
MBR 	Master Boot Record
MBT 	Masai Barefoot Technology (trainers)
MC 	Master of Ceremonies
MCL 	Much Clown Love
MCM 	Man Crush Monday
MCP 	Male Chauvanist Pig
MCR 	My Chemical Romance (band)
MCW 	Man Crush Wednesday
MDF 	Medium Density Fiberboard
MDK 	Murder Death Kill
MDR 	Mort De Rire (  in French)
MDW 	Memorial Day Weekend
MEGO 	My Eyes Glazed Over
MFC 	Mildly Fat Chick Microsoft Foundation Classes
MFEO 	Made For Each Other
MFG 	Mit Freundlichen Gruessen (German)
MFL 	Marked For Later
MFW 	My Face When …
MGBY 	May God Bless You
MGD 	Miller Genuine Draft
MGK 	Machine Gun Kelly
MGM 	Male Genital Mutilation
MGMT 	The Management (band)
MGO 	Metal Gear Online (game)
MGS 	Metal Gear Solid (game)
MH 	Map Hack
MHBFY 	My Heart Bleeds For You
MHO 	My Honest Opinion
MHOTY 	My Hat's Off To You
AMG 	Ah My God
AML 	All My Love
AMN 	Any Minute Now
AMOF 	As a Matter of Fact
AMOG 	Alpha Male Of Group
